iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
5,2.162e+03,2.98e+08,1.49e+09,2.99e+06
5,2.375e+03,3.26e+08,3.28e+09,3.29e+06
5,2.206e+03,3.04e+08,3.09e+09,3.09e+06
5,2.137e+03,2.91e+08,1.42e+09,2.93e+06
5,1.903e+03,2.59e+08,1.67e+09,2.60e+06
5,2.409e+03,3.26e+08,1.29e+09,3.25e+06
5,2.440e+03,3.29e+08,2.46e+09,3.34e+06
5,2.152e+03,2.93e+08,2.24e+09,2.96e+06
5,1.749e+03,2.36e+08,1.62e+09,2.40e+06
5,2.574e+03,3.55e+08,2.61e+09,3.58e+06
5,2.065e+03,2.81e+08,1.48e+09,2.81e+06
5,1.874e+03,2.52e+08,1.51e+09,2.53e+06
5,1.617e+03,2.18e+08,2.99e+09,2.17e+06
5,2.099e+03,2.85e+08,1.91e+09,2.89e+06
5,2.066e+03,2.84e+08,2.73e+09,2.85e+06
5,2.207e+03,3.05e+08,2.52e+09,3.07e+06
5,2.092e+03,2.79e+08,1.80e+09,2.78e+06
5,1.591e+03,2.16e+08,1.58e+09,2.18e+06
5,2.435e+03,3.28e+08,2.23e+09,3.26e+06
5,1.856e+03,2.53e+08,2.83e+09,2.54e+06
5,2.276e+03,3.04e+08,1.54e+09,3.04e+06
5,2.480e+03,3.38e+08,1.51e+09,3.35e+06
5,2.080e+03,2.83e+08,2.72e+09,2.86e+06
5,1.316e+03,1.77e+08,1.37e+09,1.77e+06
5,2.080e+03,2.88e+08,2.74e+09,2.86e+06
5,2.299e+03,3.17e+08,2.27e+09,3.15e+06
5,2.061e+03,2.80e+08,2.56e+09,2.82e+06
5,2.294e+03,3.07e+08,1.78e+09,3.10e+06
5,2.162e+03,2.98e+08,1.98e+09,2.96e+06
5,1.929e+03,2.64e+08,2.65e+09,2.63e+06
5,2.290e+03,3.10e+08,1.64e+09,3.07e+06
5,1.976e+03,2.75e+08,1.83e+09,2.72e+06
5,2.018e+03,2.73e+08,2.46e+09,2.76e+06
5,2.363e+03,3.23e+08,2.18e+09,3.23e+06
5,1.753e+03,2.38e+08,1.61e+09,2.39e+06
5,2.240e+03,3.04e+08,3.97e+09,3.01e+06
5,2.425e+03,3.24e+08,1.68e+09,3.25e+06
5,1.892e+03,2.59e+08,2.34e+09,2.60e+06
5,2.373e+03,3.26e+08,2.01e+09,3.28e+06
5,2.177e+03,2.92e+08,1.89e+09,2.92e+06
5,1.723e+03,2.33e+08,2.25e+09,2.33e+06
5,2.343e+03,3.22e+08,2.35e+09,3.25e+06
5,2.266e+03,3.12e+08,2.25e+09,3.13e+06
5,1.863e+03,2.54e+08,2.13e+09,2.55e+06
5,1.685e+03,2.29e+08,1.65e+09,2.30e+06
5,2.067e+03,2.88e+08,1.95e+09,2.87e+06
5,1.506e+03,2.05e+08,2.07e+09,2.07e+06
5,2.268e+03,3.11e+08,1.73e+09,3.12e+06
5,2.213e+03,2.95e+08,8.82e+08,2.98e+06
5,1.799e+03,2.41e+08,2.22e+09,2.41e+06
5,2.341e+03,3.17e+08,5.67e+08,3.19e+06
5,2.159e+03,2.94e+08,2.83e+09,2.96e+06
5,1.613e+03,2.19e+08,2.27e+09,2.20e+06
5,2.334e+03,3.09e+08,2.04e+09,3.09e+06
5,2.276e+03,3.15e+08,1.10e+09,3.16e+06
5,2.140e+03,2.91e+08,2.36e+09,2.93e+06
5,1.790e+03,2.47e+08,1.32e+09,2.46e+06
5,2.263e+03,3.06e+08,2.55e+09,3.10e+06
5,1.996e+03,2.75e+08,1.55e+09,2.74e+06
5,2.056e+03,2.83e+08,1.77e+09,2.86e+06
5,1.516e+03,2.02e+08,2.18e+09,2.02e+06
5,1.843e+03,2.54e+08,2.61e+09,2.54e+06
5,2.164e+03,2.94e+08,1.90e+09,2.94e+06
5,1.868e+03,2.50e+08,2.01e+09,2.53e+06
