iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
304,4.015e+02,1.41e+07,2.75e+08,3.94e+05
305,4.166e+02,1.40e+07,3.67e+07,4.24e+05
306,3.603e+02,1.26e+07,7.31e+07,3.35e+05
307,3.805e+02,1.21e+07,1.39e+08,3.72e+05
308,2.985e+02,1.04e+07,2.19e+08,2.95e+05
309,3.227e+02,1.11e+07,4.09e+08,3.12e+05
310,3.254e+02,1.05e+07,1.37e+08,3.02e+05
311,3.042e+02,1.11e+07,2.05e+07,3.03e+05
312,4.033e+02,1.40e+07,9.49e+07,3.76e+05
313,3.393e+02,1.15e+07,2.44e+07,3.43e+05
314,3.871e+02,1.35e+07,4.12e+08,4.02e+05
315,3.070e+02,1.10e+07,2.77e+08,3.12e+05
316,3.221e+02,1.04e+07,3.42e+07,2.87e+05
317,3.651e+02,1.23e+07,6.57e+07,3.72e+05
318,4.436e+02,1.53e+07,9.12e+07,4.88e+05
319,3.276e+02,1.13e+07,2.60e+08,3.10e+05
320,3.895e+02,1.38e+07,1.97e+08,3.77e+05
321,3.707e+02,1.29e+07,1.82e+07,3.55e+05
322,3.621e+02,1.30e+07,1.27e+08,3.46e+05
323,4.212e+02,1.48e+07,5.49e+07,4.80e+05
324,4.643e+02,1.68e+07,1.51e+08,4.46e+05
325,2.403e+02,8.58e+06,2.45e+08,2.38e+05
326,2.977e+02,1.06e+07,1.73e+07,3.14e+05
327,3.497e+02,1.15e+07,1.51e+08,3.28e+05
328,3.818e+02,1.29e+07,9.58e+06,3.98e+05
329,4.498e+02,1.55e+07,1.02e+08,4.22e+05
330,3.822e+02,1.35e+07,4.01e+07,3.88e+05
331,3.396e+02,1.17e+07,6.22e+07,3.76e+05
332,3.359e+02,1.23e+07,1.66e+08,3.26e+05
333,3.596e+02,1.23e+07,1.03e+07,3.44e+05
334,3.240e+02,1.18e+07,1.40e+08,3.11e+05
335,2.870e+02,1.06e+07,2.01e+08,2.94e+05
336,4.228e+02,1.47e+07,8.58e+07,4.23e+05
337,3.434e+02,1.25e+07,1.29e+07,3.24e+05
338,3.504e+02,1.25e+07,2.73e+08,3.68e+05
339,4.282e+02,1.48e+07,3.48e+08,3.81e+05
340,3.159e+02,1.17e+07,1.41e+08,2.89e+05
341,3.014e+02,1.05e+07,2.29e+08,2.99e+05
342,3.816e+02,1.38e+07,5.96e+07,3.54e+05
343,3.611e+02,1.25e+07,7.47e+07,3.22e+05
344,4.289e+02,1.50e+07,6.05e+07,4.27e+05
345,4.134e+02,1.44e+07,1.09e+08,3.91e+05
346,3.345e+02,1.16e+07,7.43e+07,3.12e+05
347,2.736e+02,9.97e+06,1.72e+07,2.77e+05
348,3.557e+02,1.30e+07,9.55e+06,3.60e+05
349,3.067e+02,1.03e+07,2.45e+07,3.20e+05
350,3.418e+02,1.22e+07,6.56e+07,3.33e+05
351,3.411e+02,1.25e+07,2.07e+08,3.25e+05
352,3.510e+02,1.21e+07,7.57e+07,3.92e+05
353,3.461e+02,1.18e+07,4.33e+08,3.36e+05
354,2.498e+02,8.90e+06,4.60e+07,2.57e+05
355,3.581e+02,1.16e+07,8.04e+07,3.30e+05
356,2.900e+02,1.01e+07,4.19e+07,2.63e+05
357,3.110e+02,1.10e+07,5.43e+07,3.17e+05
358,3.930e+02,1.42e+07,7.36e+07,3.61e+05
359,3.629e+02,1.23e+07,9.63e+07,3.88e+05
360,3.154e+02,1.10e+07,1.60e+08,3.29e+05
361,4.050e+02,1.42e+07,5.94e+07,3.97e+05
362,4.288e+02,1.52e+07,2.74e+07,4.45e+05
363,3.252e+02,1.11e+07,3.24e+07,3.31e+05
364,3.396e+02,1.19e+07,2.03e+07,3.23e+05
365,3.252e+02,1.12e+07,3.06e+07,3.49e+05
366,3.474e+02,1.25e+07,2.82e+08,3.19e+05
367,3.229e+02,1.07e+07,2.23e+08,3.03e+05
368,3.796e+02,1.36e+07,7.73e+07,3.25e+05
369,3.967e+02,1.34e+07,4.27e+07,3.91e+05
370,3.871e+02,1.42e+07,2.20e+07,3.86e+05
371,3.053e+02,1.01e+07,3.87e+08,3.14e+05
372,3.465e+02,1.20e+07,1.18e+08,3.67e+05
373,4.068e+02,1.39e+07,8.11e+07,3.57e+05
374,3.608e+02,1.22e+07,3.98e+07,3.72e+05
375,3.910e+02,1.27e+07,6.38e+07,3.85e+05
376,3.772e+02,1.29e+07,9.18e+07,3.51e+05
377,4.112e+02,1.42e+07,1.34e+08,4.08e+05
378,3.236e+02,1.11e+07,5.85e+07,3.07e+05
379,3.382e+02,1.15e+07,3.07e+08,3.64e+05
380,3.865e+02,1.38e+07,1.03e+08,4.14e+05
381,3.133e+02,1.10e+07,5.78e+07,3.06e+05
382,4.040e+02,1.41e+07,8.87e+07,3.70e+05
383,3.261e+02,1.20e+07,8.22e+07,3.40e+05
384,3.241e+02,1.17e+07,3.34e+07,3.41e+05
385,3.318e+02,1.16e+07,4.15e+08,3.23e+05
386,3.486e+02,1.24e+07,4.32e+08,3.54e+05
387,3.905e+02,1.39e+07,1.77e+07,4.27e+05
388,4.668e+02,1.65e+07,1.01e+08,4.42e+05
389,3.270e+02,1.15e+07,2.08e+07,3.26e+05
390,3.583e+02,1.30e+07,9.52e+07,3.40e+05
391,3.703e+02,1.28e+07,1.25e+08,3.67e+05
392,3.665e+02,1.28e+07,1.12e+08,3.72e+05
393,4.420e+02,1.51e+07,2.17e+08,4.83e+05
394,3.644e+02,1.24e+07,1.33e+08,3.35e+05
395,3.166e+02,1.08e+07,4.60e+07,2.81e+05
396,3.545e+02,1.23e+07,7.14e+07,3.32e+05
397,3.139e+02,1.18e+07,2.05e+08,3.05e+05
398,3.762e+02,1.33e+07,1.20e+08,4.17e+05
399,4.112e+02,1.41e+07,8.92e+07,4.22e+05
400,3.833e+02,1.26e+07,7.58e+07,4.29e+05
401,3.350e+02,1.20e+07,2.40e+08,2.85e+05
402,3.600e+02,1.22e+07,2.29e+07,3.67e+05
403,3.357e+02,1.14e+07,2.57e+08,3.38e+05
404,3.798e+02,1.32e+07,1.89e+08,3.77e+05
405,4.429e+02,1.45e+07,1.43e+08,4.34e+05
406,3.241e+02,1.15e+07,2.42e+08,3.36e+05
407,3.198e+02,1.08e+07,5.87e+07,2.97e+05
408,4.590e+02,1.63e+07,6.75e+07,4.43e+05
409,3.097e+02,1.10e+07,1.08e+08,2.79e+05
410,4.030e+02,1.44e+07,2.56e+08,3.64e+05
411,3.480e+02,1.29e+07,6.97e+07,3.12e+05
412,3.833e+02,1.32e+07,1.11e+08,3.58e+05
413,3.411e+02,1.18e+07,1.49e+08,3.32e+05
414,3.372e+02,1.17e+07,6.62e+07,3.66e+05
415,2.830e+02,1.06e+07,2.08e+08,2.66e+05
416,4.629e+02,1.65e+07,1.37e+08,4.51e+05
417,3.307e+02,1.19e+07,3.44e+07,3.46e+05
418,4.575e+02,1.57e+07,1.97e+07,4.12e+05
419,3.100e+02,1.11e+07,5.84e+07,3.22e+05
420,3.082e+02,1.07e+07,2.03e+08,2.87e+05
421,4.865e+02,1.70e+07,7.30e+07,4.92e+05
422,3.761e+02,1.29e+07,6.70e+06,3.55e+05
423,3.945e+02,1.35e+07,2.91e+07,3.47e+05
424,3.006e+02,1.06e+07,8.12e+07,3.32e+05
425,3.934e+02,1.38e+07,3.19e+08,3.75e+05
426,3.753e+02,1.34e+07,1.54e+08,3.94e+05
427,4.164e+02,1.44e+07,3.48e+07,4.00e+05
428,2.998e+02,1.06e+07,1.91e+08,2.90e+05
429,3.303e+02,1.16e+07,1.07e+07,2.90e+05
430,4.546e+02,1.65e+07,2.44e+08,4.27e+05
431,3.816e+02,1.31e+07,1.06e+08,3.34e+05
432,4.200e+02,1.31e+07,1.01e+08,4.19e+05
433,4.035e+02,1.47e+07,4.38e+07,3.93e+05
434,3.983e+02,1.41e+07,1.86e+08,3.74e+05
435,2.542e+02,9.28e+06,4.22e+07,2.55e+05
436,3.637e+02,1.33e+07,2.70e+08,3.38e+05
437,4.333e+02,1.40e+07,1.20e+08,4.10e+05
438,3.051e+02,1.07e+07,3.39e+07,3.03e+05
439,3.537e+02,1.31e+07,5.30e+07,3.71e+05
440,3.107e+02,1.04e+07,2.85e+07,2.69e+05
441,3.769e+02,1.39e+07,4.35e+07,3.33e+05
442,3.937e+02,1.40e+07,5.98e+07,3.90e+05
443,3.424e+02,1.24e+07,8.25e+07,3.27e+05
444,3.283e+02,1.14e+07,8.73e+07,3.30e+05
445,3.017e+02,1.05e+07,2.87e+08,2.61e+05
446,3.418e+02,1.26e+07,1.15e+08,3.11e+05
447,4.743e+02,1.60e+07,2.38e+08,5.07e+05
448,4.139e+02,1.48e+07,3.38e+07,3.71e+05
449,3.449e+02,1.14e+07,7.67e+06,3.49e+05
450,3.456e+02,1.23e+07,9.08e+07,3.30e+05
451,3.888e+02,1.28e+07,2.23e+08,3.90e+05
452,3.768e+02,1.35e+07,1.13e+07,3.67e+05
453,4.234e+02,1.41e+07,4.57e+07,4.35e+05
454,3.788e+02,1.32e+07,7.69e+07,3.64e+05
455,3.599e+02,1.34e+07,3.43e+08,3.49e+05
456,3.667e+02,1.26e+07,1.07e+08,3.49e+05
457,3.285e+02,1.17e+07,6.16e+07,2.70e+05
458,4.192e+02,1.53e+07,1.80e+08,4.13e+05
