iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
332,3.570e+02,4.43e+06,3.57e+07,1.09e+05
333,4.306e+02,5.50e+06,7.94e+07,1.47e+05
334,2.851e+02,4.56e+06,2.93e+07,1.30e+05
335,3.905e+02,4.06e+06,2.49e+08,1.03e+05
336,4.226e+02,6.13e+06,6.59e+07,1.90e+05
337,3.587e+02,4.59e+06,6.99e+07,1.01e+05
338,2.965e+02,4.00e+06,9.33e+07,1.03e+05
339,4.068e+02,4.57e+06,2.36e+08,1.27e+05
340,4.027e+02,5.27e+06,5.06e+07,1.35e+05
341,2.944e+02,4.10e+06,2.79e+08,1.07e+05
342,3.158e+02,4.83e+06,1.56e+07,1.22e+05
343,3.385e+02,3.93e+06,1.92e+08,1.05e+05
344,3.772e+02,4.70e+06,4.26e+08,1.35e+05
345,4.430e+02,5.07e+06,1.10e+08,1.41e+05
346,3.219e+02,4.49e+06,1.30e+08,1.23e+05
347,3.155e+02,4.60e+06,1.46e+07,1.13e+05
348,3.340e+02,5.01e+06,7.14e+07,1.52e+05
349,3.111e+02,4.24e+06,5.61e+07,1.12e+05
350,3.529e+02,4.76e+06,6.35e+07,1.29e+05
351,3.662e+02,4.51e+06,1.18e+08,1.04e+05
352,3.455e+02,4.62e+06,1.36e+08,1.19e+05
353,3.056e+02,4.10e+06,2.83e+08,1.04e+05
354,3.620e+02,4.50e+06,5.64e+07,1.21e+05
355,4.427e+02,5.67e+06,2.38e+07,1.40e+05
356,3.935e+02,4.49e+06,6.25e+07,1.14e+05
357,3.240e+02,3.86e+06,5.66e+07,9.29e+04
358,3.108e+02,4.38e+06,1.68e+07,1.11e+05
359,2.829e+02,4.01e+06,1.32e+07,1.06e+05
360,3.780e+02,4.57e+06,1.53e+07,1.22e+05
361,3.478e+02,5.22e+06,9.15e+07,1.40e+05
362,3.865e+02,4.22e+06,8.52e+07,1.15e+05
363,3.548e+02,4.41e+06,5.20e+07,9.70e+04
364,4.011e+02,4.91e+06,1.26e+08,1.41e+05
365,4.309e+02,4.27e+06,1.19e+08,1.07e+05
366,4.012e+02,4.65e+06,8.06e+07,1.21e+05
367,3.059e+02,3.66e+06,9.54e+06,8.83e+04
368,3.676e+02,5.51e+06,1.41e+08,1.36e+05
369,3.172e+02,4.40e+06,6.44e+07,1.24e+05
370,3.666e+02,3.82e+06,5.95e+07,9.83e+04
371,3.171e+02,5.57e+06,1.47e+07,1.31e+05
372,3.595e+02,4.68e+06,7.43e+07,1.36e+05
373,3.804e+02,4.40e+06,1.57e+08,1.23e+05
374,3.913e+02,4.64e+06,3.92e+07,1.24e+05
375,3.768e+02,4.54e+06,8.98e+07,1.22e+05
